"","rank","clg_name","location"
"1","1 ","Indian Institute of Technology Bombay","Mumbai"
"2","2 ","Indian Institute of Technology Madras","Chennai"
"3","3 ","Indian Institute of Technology Kanpur","Kanpur"
"4","4 ","Indian Institute of Technology Delhi","New Delhi"
"5","5 ","University of Delhi","Delhi"
"6","6 ","Anna University","Chennai and other locations"
"7","7 ","Amity University","Noida"
"8","8 ","University of Mumbai","Mumbai"
"9","9 ","Manipal University","Manipal and other locations"
"10","10 ","Indian Institute of Technology Kharagpur","Kharagpur"
"11","11 ","Birla Institute of Technology and Science","Pilani and other locations"
"12","12 ","Visveswaraiah Technological University","Belgaum"
"13","13 ","Amrita Vishwa Vidyapeetham","Coimbatore and other locations"
"14","14 ","Jawaharlal Nehru University","New Delhi"
"15","15 ","National Institute of Technology, Tiruchirappalli","Tiruchirappalli"
"16","16 ","Indian Institute of Technology Roorkee","Roorkee"
"17","17 ","Banaras Hindu University","Varanasi"
"18","18 ","Delhi Technological University","Delhi"
"19","19 ","University of Madras","Chennai"
"20","20 ","National Institute of Technology, Rourkela","Rourkela"
"21","21 ","Indian Institute of Technology Guwahati","Guwahati"
"22","22 ","National Institute of Technology Calicut","Calicut"
"23","23 ","Indian Statistical Institute","Kolkata and other locations"
"24","24 ","National Law School of India University","Bangalore"
"25","25 ","Jadavpur University","Kolkata"
"26","26 ","Indian Institute of Foreign Trade","New Delhi"
"27","27 ","Guru Gobind Singh Indraprastha University","Delhi"
"28","28 ","Lovely Professional University","Phagwara"
"29","29 ","Jawaharlal Nehru Technological University","Hyderabad and other locations"
"30","30 ","Uttar Pradesh Technical University","Lucknow"
"31","31 ","Osmania University","Hyderabad"
"32","32 ","Rajiv Gandhi Proudyogiki Vishwavidyalaya","Bhopal and other locations"
"33","33 ","VIT University","Vellore and other locations"
"34","34 ","SRM University","Kattankulathur"
"35","35 ","SASTRA University","Thanjavur"
"36","36 ","Panjab University","Chandigarh"
"37","37 ","Andhra University","Visakhapatnam"
"38","38 ","Annamalai University","Chidambaram"
"39","39 ","Rajasthan Technical University","Kota"
"40","40 ","Cochin University of Science and Technology","Kochi"
"41","41 ","Gujarat University","Ahmedabad"
"42","42 ","University of Calicut","Tenhipalam and other locations"
"43","43 ","Devi Ahilya Vishwavidyalaya","Indore"
"44","44 ","Guru Nanak Dev University","Amritsar"
"45","45 ","Maharshi Dayanand University","Rohtak"
"46","46 ","Narsee Monjee Institute of Management and Higher Studies","Mumbai"
"47","47 ","University of Kerala","Thiruvananthapuram"
"48","48 ","All India Institute of Medical Sciences","New Delhi"
"49","49 ","Pondicherry University","Puducherry and other locations"
"50","50 ","University of Rajasthan","Jaipur"
"51","51 ","Indian Institute of Information Technology Allahabad","Allahabad"
"52","52 ","University of Lucknow","Lucknow"
"53","53 ","Christ University","Bangalore"
"54","54 ","Birla Institute of Technology","Ranchi and other locations"
"55","55 ","Kurukshetra University","Kurukshetra and other locations"
"56","56 ","Jamia Millia Islamia","New Delhi"
"57","57 ","University of Petroleum and Energy Studies","Dehradun"
"58","58 ","Manonmaniam Sundaranar University","Tirunelveli"
"59","59 ","Punjabi University","Patiala"
"60","60 ","The Maharaja Sayajirao University of Baroda","Vadodara"
"61","61 ","Motilal Nehru National Institute of Technology","Allahabad"
"62","62 ","Punjab Technical University","Jalandhar"
"63","63 ","National Institute of Fashion Technology","New Delhi and other locations"
"64","64 ","Indian Institute of Science","Bangalore"
"65","65 ","Gujarat Technological University","Ahmedabad"
"66","66 ","West Bengal University of Technology","Kolkata"
"67","67 ","Aligarh Muslim University","Aligarh"
"68","68 ","Rajiv Gandhi University of Health Sciences","Bangalore"
"69","69 ","Bharathiar University","Coimbatore"
"70","70 ","Chhatrapati Shahu Ji Maharaj University","Kanpur"
"71","71 ","National Institute of Technology, Warangal","Warangal"
"72","72 ","Maulana Azad National Institute of Technology","Bhopal"
"73","73 ","Tamil Nadu Agricultural University","Coimbatore and other locations"
"74","74 ","National Institute of Technology Karnataka","Mangalore"
"75","75 ","University of Calcutta","Kolkata"
"76","76 ","University of Mysore","Mysore and other locations"
"77","77 ","National Institute of Design","Ahmedabad and other locations"
"78","78 ","Madurai Kamaraj University","Madurai"
"79","79 ","Sardar Patel University","Vallabh Vidyanagar"
"80","80 ","Tata Institute of Social Sciences","Mumbai"
"81","81 ","Indian Institute of Technology Hyderabad","Yeddumailaram"
"82","82 ","Indian School of Mines","Dhanbad"
"83","83 ","Bengal Engineering and Science University","Howrah and other locations"
"84","84 ","Post Graduate Institute of Medical Education and Research","Chandigarh"
"85","85 ","Govind Ballabh Pant University of Agriculture & Technology","Pantnagar"
"86","86 ","Hindustan Institute of Technology and Science","Chennai and other locations"
"87","87 ","KIIT University","Bhubaneswar"
"88","88 ","Biju Patnaik University of Technology","Rourkela"
"89","89 ","National Institute of Technology, Durgapur","Durgapur"
"90","90 ","Acharya Nagarjuna University","Guntur"
"91","91 ","Dr. B R Ambedkar National Institute of Technology Jalandhar","Jalandhar"
"92","92 ","Malaviya National Institute of Technology, Jaipur","Jaipur"
"93","93 ","Sardar Vallabhbhai National Institute of Technology, Surat","Surat"
"94","94 ","Indian Institute of Technology Gandhinagar","Chandkheda"
"95","95 ","Chaudhary Charan Singh University","Meerut"
"96","96 ","International Institute of Information Technology Bangalore","Bangalore"
"97","97 ","Kakatiya University","Warangal and other locations"
"98","98 ","ABV-Indian Institute of Information Technology and Management Gwalior","Gwalior"
"99","99 ","Maulana Azad National Urdu University","Hyderabad"
"100","100 ","International Institute of Information Technology, Hyderabad","Hyderabad"
